Chimaeriformes,Batoidea,Squalimorph Sharks,Gaelomorph Sharks
,Mobula diabolus,,Rhizoprionodon acutus
,Mobula eregoodootenkee,,Rhizoprionodon lalandii
,Mobula hypostoma,,Rhizoprionodon longurio
,Mobula japanica,,Rhizoprionodon oligolinx
,Mobula kuhlii,,Rhizoprionodon porosus
,Mobula mobular,,Rhizoprionodon taylori
,Mobula munkiana,,Rhizoprionodon terraenovae
,Mobula rochebrunei,,Schroederichthys bivius
,Mobula tarapacana,,Schroederichthys chilensis
,Mobula thurstoni,,Schroederichthys maculatus
,Myliobatis aquila,,Schroederichthys saurisqualus
,Myliobatis australis,,Schroederichthys tenuis
,Myliobatis californicus,,Scoliodon laticaudus
,Myliobatis chilensis,,Scoliodon macrorhynchos
,Myliobatis freminvillei,,Scyliorhinus besnardi
,Myliobatis goodei,,Scyliorhinus boa
,Myliobatis hamlyni,,Scyliorhinus cabofriensis
,Myliobatis longirostris,,Scyliorhinus canicula
,Myliobatis peruvianus,,Scyliorhinus capensis
,Myliobatis rhombus,,Scyliorhinus cervigoni
,Myliobatis ridens,,Scyliorhinus comoroensis
,Myliobatis tenuicaudatus,,Scyliorhinus garmani
,Myliobatis tobijei,,Scyliorhinus haeckelii
,Narcine atzi,,Scyliorhinus hesperius
,Narcine baliensis,,Scyliorhinus meadi
,Narcine bancroftii,,Scyliorhinus retifer
,Narcine bicolor,,Scyliorhinus stellaris
,Narcine brasiliensis,,Scyliorhinus tokubee
,Narcine brevilabiata,,Scyliorhinus torazame
,Narcine brunnea,,Scyliorhinus torrei
,Narcine entemedor,,Scylliogaleus quecketti
,Narcine firma,,Sphyrna corona
,Narcine insolita,,Sphyrna gilberti
,Narcine lasti,,Sphyrna lewini
,Narcine leoparda,,Sphyrna media
,Narcine lingula,,Sphyrna mokarran
,Narcine maculata,,Sphyrna tiburo
,Narcine nelsoni,,Sphyrna tudes
,Narcine nigra,,Sphyrna zygaena
,Narcine oculifera,,Stegostoma fasciatum
,Narcine ornata,,Sutorectus tentaculatus
,Narcine prodorsalis,,Triaenodon obesus
,Narcine rierai,,Triakis acutipinna
,Narcine tasmaniensis,,Triakis maculata
,Narcine timlei,,Triakis megalopterus
,Narcine vermiculatus,,Triakis scyllium
,Narcine westraliensis,,Triakis semifasciata
,Narke capensis,,Recently Described/Novel Species
,Narke dipterygia,,
,Narke japonica,,
,Neoraja africana,,
,Neoraja caerulea,,
,Neoraja carolinensis,,
,Neoraja iberica,,
,Neoraja stehmanni,,
,Neotrygon annotata,,
,Neotrygon australiae,,
,Neotrygon caeruleopunctata,,
,Neotrygon kuhlii,,
,Neotrygon leylandi,,
,Neotrygon ningalooensis,,
,Neotrygon orientalis,,
,Neotrygon picta,,
,Neotrygon trigonoides,,
,Neotrygon varidens,,
,Notoraja alisae,,
,Notoraja azurea,,
,Notoraja fijiensis,,
,Notoraja hirticauda,,
,Notoraja inusitata,,
,Notoraja lira,,
,Notoraja longiventralis,,
,Notoraja martinezi,,
,Notoraja ochroderma,,
,Notoraja sapphira,,
,Notoraja sereti,,
,Notoraja sticta,,
,Notoraja tobitukai,,
,Okamejei acutispina,,
,Okamejei arafurensis,,
,Okamejei boesemani,,
,Okamejei cairae,,
,Okamejei heemstrai,,
,Okamejei hollandi,,
,Okamejei jensenae,,
,Okamejei kenojei,,
,Okamejei leptoura,,
,Okamejei meerdervoortii,,
,Okamejei mengae,,
,Okamejei ornata,,
,Okamejei philipi,,
,Okamejei pita,,
,Okamejei porosa,,
,Okamejei powelli,,
,Okamejei schmidti,,
,Paratrygon aiereba,,
,Pastinachus atrus,,
,Pastinachus gracilicaudus,,
,Pastinachus sephen,,
,Pastinachus solocirostris,,
,Pastinachus stellurostris,,
,Pateobatis bleekeri,,
,Pavoraja alleni,,
,Pavoraja arenaria,,
,Pavoraja mosaica,,
,Pavoraja nitida,,
,Pavoraja pseudonitida,,
,Pavoraja umbrosa,,
,Platyrhina hyugaensis,,
,Platyrhina psomadakisi,,
,Platyrhina sinensis,,
,Platyrhina tangi,,
,Platyrhinoidis triseriata,,
,Plesiobatis daviesi,,
,Plesiotrygon iwamae,,
,Plesiotrygon nana,,
,Potamotrygon albimaculata,,
,Potamotrygon amandae,,
,Potamotrygon boesemani,,
,Potamotrygon brachyura,,
,Potamotrygon castexi,,
,Potamotrygon constellata,,
,Potamotrygon dumerilii,,
,Potamotrygon falkneri,,
,Potamotrygon henlei,,
,Potamotrygon histrix,,
,Potamotrygon humerosa,,
,Potamotrygon jabuti,,
,Potamotrygon leopoldi,,
,Potamotrygon limai,,
,Potamotrygon magdalenae,,
,Potamotrygon marinae,,
,Potamotrygon motoro,,
,Potamotrygon ocellata,,
,Potamotrygon orbignyi,,
,Potamotrygon pantanensis,,
,Potamotrygon rex,,
,Potamotrygon schroederi,,
,Potamotrygon schuhmacheri,,
,Potamotrygon scobina,,
,Potamotrygon signata,,
,Potamotrygon tatianae,,
,Potamotrygon tigrina,,
,Potamotrygon wallacei,,
,Potamotrygon yepezi,,
,Pristis clavata,,
,Pristis pectinata,,
,Pristis pristis,,
,Pristis zijsron,,
,Psammobatis bergi,,
,Psammobatis extenta,,
,Psammobatis lentiginosa,,
,Psammobatis normani,,
,Psammobatis parvacauda,,
,Psammobatis rudis,,
,Psammobatis rutrum,,
,Psammobatis scobina,,
,Pseudoraja fischeri,,
,Pteromylaeus asperrimus,,
,Pteromylaeus bovinus,,
,Pteroplatytrygon violacea,,
,Raja ackleyi,,
,Raja africana,,
,Raja arctowskii,,
,Raja asterias,,
,Raja atriventralis,,
,Raja bahamensis,,
,Raja brachyura,,
,Raja cervigoni,,
,Raja chinensis,,
,Raja clavata,,
,Raja cortezensis,,
,Raja eglanteria,,
,Raja equatorialis,,
,Raja herwigi,,
,Raja inornata,,
,Raja macrorynchus,,
,Raja maderensis,,
,Raja microocellata,,
,Raja miraletus,,
,Raja montagui,,
,Raja ocellifera,,
,Raja parva,,
,Raja polystigma,,
,Raja radula,,
,Raja rhina,,
,Raja rondeleti,,
,Raja rouxi,,
,Raja stellulata,,
,Raja straeleni,,
,Raja texana,,
,Raja undulata,,
,Raja velezi,,
,Rajella alia,,
,Rajella annandalei,,
,Rajella barnardi,,
,Rajella bathyphila,,
,Rajella bigelowi,,
,Rajella caudaspinosa,,
,Rajella challengeri,,
,Rajella dissimilis,,
,Rajella eisenhardti,,
,Rajella fuliginea,,
,Rajella fyllae,,
,Rajella kukujevi,,
,Rajella leopardus,,
,Rajella lintea,,
,Rajella nigerrima,,
,Rajella paucispinosa,,
,Rajella purpuriventralis,,
,Rajella ravidula,,
,Rajella sadowskii,,
,Rhina ancylostoma,,
,Rhinobatos albomaculatus,,
,Rhinobatos annandalei,,
,Rhinobatos borneensis,,
,Rhinobatos formosensis,,
,Rhinobatos glaucostigma,,
,Rhinobatos holcorhynchus,,
,Rhinobatos horkelii,,
,Rhinobatos hynnicephalus,,
,Rhinobatos irvinei,,
,Rhinobatos jimbaranensis,,
,Rhinobatos lentiginosus,,
,Rhinobatos leucorhynchus,,
,Rhinobatos lionotus,,
,Rhinobatos manai,,
,Rhinobatos nudidorsalis,,
,Rhinobatos penggali,,
,Rhinobatos percellens,,
,Rhinobatos planiceps,,
,Rhinobatos prahli,,
,Rhinobatos productus,,
,Rhinobatos punctifer,,
,Rhinobatos rhinobatos,,
,Rhinobatos sainsburyi,,
,Rhinobatos schlegelii,,
,Rhinobatos whitei,,
,Rhinoptera adspersa,,
,Rhinoptera bonasus,,
,Rhinoptera brasiliensis,,
,Rhinoptera hainanensis,,
,Rhinoptera javanica,,
,Rhinoptera jayakari,,
,Rhinoptera marginata,,
,Rhinoptera neglecta,,
,Rhinoptera peli,,
,Rhinoptera sewelli,,
,Rhinoptera steindachneri,,
